"FUNCION","DIMENSIONES","RADIO","VECINOS","TLISTA TABU","MAX F.O.","MIN F.O.","PROMEDIO F.O."
"Rastrigin","20","0.2","10","100","110698.0021","46890.4208","67073.9299"
"Rastrigin","20","0.2","10","150","95593.4199","47368.9646","67627.7861"
"Rastrigin","20","0.2","20","50","93596.8478","33875.6773","68882.5793"
"Rastrigin","20","0.2","20","100","91928.0757","38196.6289","68748.0398"
"Rastrigin","20","0.2","20","150","95876.5141","40876.4689","68804.4290"
"Rastrigin","20","0.6","10","50","32236.0001","6427.6844","15430.9685"
"Rastrigin","20","0.6","10","100","38854.6603","5213.4887","16734.8230"
"Rastrigin","20","0.6","10","150","34513.6303","3786.4878","15471.0748"
"Rastrigin","20","0.6","20","50","21703.7654","3244.6392","10610.7128"
"Rastrigin","20","0.6","20","100","22718.7072","3843.3106","10544.9756"
"Rastrigin","20","0.6","20","150","22786.0540","4624.2947","11156.2655"
"Rastrigin","20","1.0","10","50","853.4172","269.5706","441.3404"
"Rastrigin","20","1.0","10","100","1063.7828","239.8973","505.8897"
"Rastrigin","20","1.0","10","150","949.5449","210.2036","466.3641"
"Rastrigin","20","1.0","20","50","483.9330","209.9374","352.8521"
"Rastrigin","20","1.0","20","100","727.8861","228.2816","383.0247"
"Rastrigin","20","1.0","20","150","597.5303","206.1809","353.9267"
"Rastrigin","50","0.2","10","50","195493.1059","139997.4360","167560.2317"
"Rastrigin","50","0.2","10","100","195750.5916","129443.9461","162399.9816"
"Rastrigin","50","0.2","10","150","205660.5957","125656.9480","168192.8066"
"Rastrigin","50","0.2","20","50","198477.2902","133332.6313","171585.3780"
"Rastrigin","50","0.2","20","100","223419.1801","107539.9251","167457.7271"
"Rastrigin","50","0.2","20","150","215068.7595","112365.9158","165858.5384"
"Rastrigin","50","0.6","10","50","103242.7899","37872.2653","69128.8561"
"Rastrigin","50","0.6","10","100","99998.0824","48599.5991","69582.7162"
"Rastrigin","50","0.6","10","150","98452.7874","42846.6441","69737.7185"
"Rastrigin","50","0.6","20","50","95243.2842","36437.0575","63818.0797"
"Rastrigin","50","0.6","20","100","112283.3545","35872.8757","65547.3100"
"Rastrigin","50","0.6","20","150","97634.5989","33270.3858","64276.0005"
"Rastrigin","50","1.0","10","50","31302.7351","8996.8854","20246.9929"
"Rastrigin","50","1.0","10","100","43948.2073","9072.4092","19109.8263"
"Rastrigin","50","1.0","10","150","39383.9292","10381.9755","19923.3550"
"Rastrigin","50","1.0","20","50","28006.0463","5217.9260","15104.8305"
"Rastrigin","50","1.0","20","100","32290.4165","4783.2108","14106.2363"
"Rastrigin","50","1.0","20","150","27059.2025","4406.9965","13414.7023"
"Rastrigin","100","0.2","10","50","394318.2353","234512.6717","316435.6976"
"Rastrigin","100","0.2","10","100","380005.4881","249156.3316","311230.8715"
"Rastrigin","100","0.2","10","150","385230.6477","274591.9703","318327.3099"
"Rastrigin","100","0.2","20","50","380945.1605","248966.4508","324562.1760"
"Rastrigin","100","0.2","20","100","373665.6488","254089.3336","316804.7211"
"Rastrigin","100","0.2","20","150","363724.5206","261893.1274","316160.2462"
"Rastrigin","100","0.6","10","50","262110.8569","162637.2495","213899.3417"
"Rastrigin","100","0.6","10","100","269417.6996","153887.6606","214679.2943"
"Rastrigin","100","0.6","10","150","269635.9402","140885.9381","212883.6877"
"Rastrigin","100","0.6","20","50","269590.6222","123375.2410","201569.6223"
"Rastrigin","100","0.6","20","100","244882.8575","140163.1083","199209.5138"
"Rastrigin","100","0.6","20","150","246594.3214","129899.2406","189622.5223"
"Rastrigin","100","1.0","10","50","149722.9536","74552.0584","112556.8461"
"Rastrigin","100","1.0","10","100","163701.2422","93225.7636","122744.4850"
"Rastrigin","100","1.0","10","150","137378.5454","80715.8262","111066.9860"
"Rastrigin","100","1.0","20","50","146840.5902","71823.5283","100260.1926"
"Rastrigin","100","1.0","20","100","141008.7026","65066.5389","93656.2951"
"Rastrigin","100","1.0","20","150","118526.7110","61794.2540","92641.9301"
"Ackley","20","0.2","10","50","22.0004","21.3081","21.6778"
"Ackley","20","0.2","10","100","21.9855","21.3628","21.6841"
"Ackley","20","0.2","10","150","22.0552","21.1237","21.7236"
"Ackley","20","0.2","20","50","21.9354","21.1962","21.6777"
"Ackley","20","0.2","20","100","21.9522","21.4067","21.7113"
"Ackley","20","0.2","20","150","21.9252","21.3082","21.7029"
"Ackley","20","0.6","10","50","21.2069","20.8346","21.0453"
"Ackley","20","0.6","10","100","21.1652","20.9213","21.0717"
"Ackley","20","0.6","10","150","21.1975","20.8805","21.0715"
"Ackley","20","0.6","20","50","21.1994","20.9042","21.0830"
"Ackley","20","0.6","20","100","21.1939","20.9558","21.0822"
"Ackley","20","0.6","20","150","21.1863","20.9054","21.0660"
"Ackley","20","1.0","10","50","21.1438","20.8320","21.0068"
"Ackley","20","1.0","10","100","21.1094","20.7765","21.0078"
"Ackley","20","1.0","10","150","21.1154","20.8284","21.0010"
"Ackley","20","1.0","20","50","21.1226","20.7240","20.9776"
"Ackley","20","1.0","20","100","21.0968","20.7370","20.9700"
"Ackley","20","1.0","20","150","21.1183","20.5525","20.9728"
"Ackley","50","0.2","10","50","21.6874","21.3483","21.4740"
"Ackley","50","0.2","10","100","21.6675","21.3185","21.5123"
